"","X","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"1",1,"Network #893","Dataset #47","antagonistic",78,607,0.0997698882314267,7.78205128205128,"Food web of the intertidal mudflat of Company Bay","10.1111/j.1365-2656.2004.00899.x",2004,"ross m. thompson","https://doi.org/10.1111%2Fj.1365-2656.2004.00899.x","coastal",139.333333333333,172,58.6666666666667,4112.66666666667,314.666666666667,21.6666666666667,293.333333333333,186,91,189.666666666667,89,689,914,521.666666666667,12911.6666666667,855.333333333333,546.666666666667,838.333333333333,550.333333333333,179,13138.5,179,NA,"Network #893",0.0402550536638577,31.4139408052738,35.1596787750689,33.4263804196573
"2",2,"Network #1498","Dataset #116","antagonistic",79,1010,0.161833039576991,12.7848101265823,"Food web structure of temporary ponds in Vilas County, northern Wisconsin, USA","10.1007/s004420050197",1997,"schneider","https://link.springer.com/article/10.1007/s004420050197","freshwater",55,261,43.3333333333333,12406.6666666667,312.333333333333,-292.333333333333,604.666666666667,187.666666666667,-113,188.333333333333,-113,681,1272,199.333333333333,39021,1184.66666666667,226.666666666667,1178.66666666667,229.333333333333,180,12195.0833333333,180,1,"Network #1498",0.0648756304802906,37.8228840320993,34.7170549941295,27.4600609737711
"3",3,"Network #1526","Dataset #144","antagonistic",45,193,0.0953086419753086,4.28888888888889,"Food web structure of an arctic stream (Ivishak Spring Stream), Alaska","10.1111/j.1365-2427.2006.01567.x",2006,"parker","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2427.2006.01567.x","freshwater",-66.6666666666667,283.333333333333,42.3333333333333,13841,252.333333333333,-414,666,114.333333333333,-208.333333333333,115.333333333333,-211.333333333333,327,770,69.6666666666667,25455.3333333333,697,100,696.333333333333,106.333333333333,181,7038.58333333333,181,0,"Network #1526",0.0451992280713574,38.679235897087,14.7687614422565,46.5520026606564
"4",4,"Network #1530","Dataset #145","antagonistic",106,310,0.0275898896404414,2.92452830188679,"Food web structure of a tropical stream (Potreirinho Creek), Itatinga district, south-eastern Brazil","10.1111/j.1442-9993.2005.01424.x",2005,"motta","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1442-9993.2005.01424.x","freshwater",235.666666666667,220.333333333333,66.3333333333333,3294.66666666667,389,56.3333333333333,332.666666666667,265.666666666667,197,270,192.333333333333,1242.33333333333,1684.66666666667,803.666666666667,29683.6666666667,1594.33333333333,879.666666666667,1540,918.333333333333,182,14874.25,182,7.29570436477661,"Network #1530",0.0451289437725393,21.8517332219292,37.7935626822663,40.3547040958044
"5",5,"Network #1554","Dataset #148","antagonistic",12,19,0.131944444444444,1.58333333333333,"Food web structure of the fuzzy bud/flower galls of Asphondylia on A. canescens, southern California, USA","10.1111/j.1365-2311.1984.tb00851.x",1984,"hawkins","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2311.1984.tb00851.x","terrestrial",184.666666666667,282,60.3333333333333,6756.33333333333,437,-30.6666666666667,468.333333333333,264.666666666667,119,268.666666666667,106.333333333333,591.333333333333,912.666666666667,409.333333333333,15843.6666666667,809.666666666667,444,782.333333333333,462.333333333333,183,19156.9166666667,183,7.74087476730347,"Network #1554",0.038194444444445,3.22715824863136e-29,26.2525882518121,73.7474117481879
"6",6,"Network #1560","Dataset #148","antagonistic",9,11,0.135802469135802,1.22222222222222,"Food web structure of the woody/smooth stem galls of N. willistoni on A. canescens, southern California, USA","10.1111/j.1365-2311.1984.tb00851.x",1984,"hawkins","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2311.1984.tb00851.x","terrestrial",184.666666666667,282,60.3333333333333,6756.33333333333,437,-30.6666666666667,468.333333333333,264.666666666667,119,268.666666666667,106.333333333333,591.333333333333,912.666666666667,409.333333333333,15843.6666666667,809.666666666667,444,782.333333333333,462.333333333333,184,19156.9166666667,184,7.74087476730347,"Network #1560",0.0506042110538694,10.8429087928876,13.2463744603614,75.910716746751
"7",7,"Network #1537","Dataset #150","antagonistic",35,380,0.310204081632653,10.8571428571429,"Food web structure of a freshwater invertebrate community, Skipwith Common, North Yorkshire, England","10.2307/3565588",1989,"warren","https://www.jstor.org/stable/pdf/3565588.pdf?refreqid=excelsior%3Acf136887b1a0398d638d20e3300d5604","freshwater",105,174,53,5292.66666666667,286.333333333333,-42.6666666666667,328,169.666666666667,50,172,44.3333333333333,672,956.333333333333,449,17417.6666666667,900,482.666666666667,894,493.666666666667,185,9314.16666666667,185,29,"Network #1537",0.108198259930361,64.7829645538822,8.92274333479296,26.2942921113248
"8",8,"Network #1565","Dataset #153","antagonistic",40,241,0.150625,6.025,"Food web structure in term of diet composition of Baia da Onca (ONCA model), Pantanal Plain, Paraguay River basin, Brazil","10.1016/j.ecolmodel.2013.01.001",2013,"angelini","https://www.sciencedirect.com/science/article/pii/S030438001300015X","freshwater",293,234.666666666667,65.3333333333333,3677,447,88.3333333333333,359,321.333333333333,253.666666666667,331.333333333333,244.333333333333,1036,1483,609.333333333333,28186.3333333333,1365.33333333333,699.666666666667,1245.33333333333,754.666666666667,186,15934.1666666667,186,6.45580816268921,"Network #1565",0.0145885179859075,58.911184036596,1.25869119995579,39.8301247634482
"9",9,"Network #1573","Dataset #157","antagonistic",67,158,0.0351971485854311,2.35820895522388,"Food web structure of the Akatore B Creek (1 year post harvest) , New Zealand","10.1080/00288330.2004.9517265",2004,"thompson","https://www.tandfonline.com/doi/abs/10.1080/00288330.2004.9517265","freshwater",136.666666666667,172,58.3333333333333,4099,312,18,294,182.333333333333,87.6666666666667,186.333333333333,86.6666666666667,698,924,522,13435,869.333333333333,548.333333333333,853.666666666667,552.333333333333,187,13067.6666666667,187,15.5767097473145,"Network #1573",0.0292502156546275,39.9359404332983,13.6257742681128,46.4382852985889
"10",10,"Network #1576","Dataset #157","antagonistic",39,103,0.0677186061801446,2.64102564102564,"Food web structure of the Catlins stream (2 years post harvest) , New Zealand","10.1080/00288330.2004.9517265",2004,"thompson","https://www.tandfonline.com/doi/abs/10.1080/00288330.2004.9517265","freshwater",132.333333333333,152,57.6666666666667,3696,287,22.3333333333333,265,174,88.6666666666667,177,87,719,934.666666666667,541.333333333333,13341,887.333333333333,571,876.666666666667,574,188,12632.0833333333,188,13.9567403793335,"Network #1576",0.0210373663215151,28.771625530817,10.6346667692613,60.5937076999217
"11",11,"Network #1578","Dataset #157","antagonistic",55,129,0.0426446280991736,2.34545454545455,"Food web structure of the Akatore A Creek (2 years post harvest) , New Zealand","10.1080/00288330.2004.9517265",2004,"thompson","https://www.tandfonline.com/doi/abs/10.1080/00288330.2004.9517265","freshwater",136.666666666667,172,58.3333333333333,4099,312,18,294,182.333333333333,87.6666666666667,186.333333333333,86.6666666666667,698,924,522,13435,869.333333333333,548.333333333333,853.666666666667,552.333333333333,189,13067.6666666667,189,15.5767097473145,"Network #1578",0.00847442951087365,20.6357292645441,1.86011151412183,77.504159221334
"12",12,"Network #1594","Dataset #163","antagonistic",27,116,0.159122085048011,4.2962962962963,"Food web structure of the offshore community (1987-1991) in Lake Ontario, Ontario, Canada","10.1016/j.ecolmodel.2010.10.024",2011,"stewart","https://www.sciencedirect.com/science/article/pii/S0304380010005843","freshwater",110,197.333333333333,40,10738.3333333333,324.333333333333,-170,494.333333333333,232.333333333333,-30,233,-30.3333333333333,784,1375.33333333333,262.333333333333,39211.6666666667,1296,327,1287.66666666667,329.666666666667,190,12581.8333333333,190,NA,"Network #1594",0.00883802852672194,26.2303313808818,7.74657495778778,66.0230936613304
"13",13,"Network #1595","Dataset #163","antagonistic",27,114,0.156378600823045,4.22222222222222,"Food web structure of the offshore community (2001-2005) in Lake Ontario, Ontario, Canada","10.1016/j.ecolmodel.2010.10.024",2011,"stewart","https://www.sciencedirect.com/science/article/pii/S0304380010005843","freshwater",110,197.333333333333,40,10738.3333333333,324.333333333333,-170,494.333333333333,232.333333333333,-30,233,-30.3333333333333,784,1375.33333333333,262.333333333333,39211.6666666667,1296,327,1287.66666666667,329.666666666667,191,12581.8333333333,191,NA,"Network #1595",0.0139959035084004,16.1036523754132,18.1629379162453,65.7334097083416
"14",14,"Network #5013","Dataset #178","antagonistic",714,51496,0.101012954201288,72.1232492997199,"Meta-food web structure of invertebrate community in a european grassland, Germany","10.1002/ecy.2679",2019,"hines","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.2679","terrestrial",103.333333333333,212.333333333333,45.3333333333333,8239,338.333333333333,-131.333333333333,470,199,0.666666666666667,202,0,653.666666666667,1017.33333333333,333.333333333333,23603.3333333333,955.333333333333,382.333333333333,944.333333333333,385,192,10055.6666666667,192,39.4455871582031,"Network #5013",0.0918311401910691,51.8023334955783,40.9105015799131,7.28716492450865
"15",15,"Network #2464","Dataset #156","antagonistic",50,246,0.0984,4.92,"Food web structure of a pelagic community within Tuesday Lake (1986), Michigan, USA","10.1073/pnas.232715699",2003,"cohen","https://www.pnas.org/content/100/4/1781.short","freshwater",58.6666666666667,258.333333333333,43,12425.3333333333,318.333333333333,-284.333333333333,602.666666666667,192,-109,192.666666666667,-109.666666666667,689.666666666667,1300.33333333333,200.333333333333,39969.6666666667,1210.66666666667,227.333333333333,1204.33333333333,230,193,12165.4166666667,193,1,"Network #2464",0.0585038893949814,32.5144925810258,31.5852601106855,35.9002473082887
"16",16,"Network #91","Dataset #27","antagonistic",44,413,0.213326446280992,9.38636363636364,"Food web of the the Gulf of Cadiz","10.1016/j.ecolmodel.2013.05.019",2013,"maria angeles torres","https://doi.org/10.1016%2Fj.ecolmodel.2013.05.019","coastal",214.666666666667,171.333333333333,49.6666666666667,5921.33333333333,414.666666666667,69,345.333333333333,263.333333333333,170.666666666667,287.666666666667,143.333333333333,837,1028.33333333333,671.666666666667,11403.6666666667,973.666666666667,712.333333333333,923.666666666667,755.666666666667,194,NA,194,NA,"Network #91",0.002140210909035,1.43980572102073e-28,15.3924509761521,84.6075490238479
"17",17,"Network #1475","Dataset #103","antagonistic",16,42,0.1640625,2.625,"Food web structure of species groups with same trophic habits in a small holomictic lake (Lake Ciso), Girona, Spain","10.3354/ame011279",1996,"massana","https://www.int-res.com/abstracts/ame/v11/n3/p279-288/","freshwater",138,237,53.6666666666667,6642.66666666667,369,-75.3333333333333,444.333333333333,222,66.3333333333333,223.666666666667,61,713.333333333333,1058,421,22713.6666666667,999.666666666667,456.333333333333,995,467.666666666667,195,14594.25,195,26.48610496521,"Network #1475",0.0361589601922521,19.3533385338631,1.46711898305082,79.1795424830861
"18",18,"Network #1449","Dataset #87","antagonistic",20,44,0.11,2.2,"The food web structure of N. albomarginata in West Malaysia","10.1111/j.1365-2311.1985.tb00720.x",1985,"beaver","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2311.1985.tb00720.x","freshwater",271.333333333333,108.333333333333,77.3333333333333,671.333333333333,344,203.666666666667,141,274.333333333333,267.666666666667,278,265,1828.33333333333,1944.66666666667,1687.33333333333,7561,1911,1734.66666666667,1863.33333333333,1759,198,15953.1666666667,198,4,"Network #1449",0.0150634182655372,8.39250101523435,23.6134491647641,67.9940498200015
"19",19,"Network #1450","Dataset #87","antagonistic",19,55,0.152354570637119,2.89473684210526,"The food web structure of N. ampullaria in West Malaysia","10.1111/j.1365-2311.1985.tb00720.x",1985,"beaver","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2311.1985.tb00720.x","freshwater",271.333333333333,108.333333333333,77.3333333333333,671.333333333333,344,203.666666666667,141,274.333333333333,267.666666666667,278,265,1828.33333333333,1944.66666666667,1687.33333333333,7561,1911,1734.66666666667,1863.33333333333,1759,200,15953.1666666667,200,4,"Network #1450",0.0140684978205846,2.19034608407931e-29,15.3753149494703,84.6246850505297
"20",20,"Network #1252","Dataset #15","antagonistic",50,273,0.1092,5.46,"Food web of pelagic communities of small lakes and ponds of the Rat Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",55.6666666666667,277.666666666667,46.3333333333333,11628,291.666666666667,-307,599,176,-100,178.333333333333,-102,706,1248,236.333333333333,35039.3333333333,1157,294.666666666667,1152.66666666667,299.333333333333,201,12304.0833333333,201,14.5752754211426,"Network #1252",2.14466437440816e-17,0,0,100
"21",21,"Network #86","Dataset #22","antagonistic",26,189,0.279585798816568,7.26923076923077,"Dietary matrix of the Huizache–Caimanero lagoon","10.1016/s0272-7714(02)00410-9",2003,"manuel j. zetina-rejon","https://doi.org/10.1016%2Fs0272-7714%2802%2900410-9","freshwater",272,72,47,2327,338.333333333333,192.333333333333,146,293.666666666667,250.333333333333,299.333333333333,244.333333333333,1495,2052.33333333333,1016.33333333333,37790,1986.66666666667,1071,1841,1144.66666666667,202,18171.4166666667,202,4,"Network #86",0.00649314882518934,21.7585276889936,11.8256750951765,66.4157972158299
"22",22,"Network #1448","Dataset #86","antagonistic",13,34,0.201183431952663,2.61538461538462,"Interaction of a mixed food web in the Corrente River in the Paraná River Basin",NA,2010,"angelini","https://panamjas.org/pdf_artigos/PANAMJAS_5(3)_421-431.pdf","freshwater",269.666666666667,219.333333333333,64.3333333333333,3062.33333333333,425.333333333333,85.3333333333333,339.666666666667,282,239,302.333333333333,230.666666666667,1097.33333333333,1559,657.666666666667,29693.3333333333,1454.33333333333,742.666666666667,1204,813.666666666667,203,15615.9166666667,203,4.16540622711182,"Network #1448",0.0188946977742529,22.0593650453453,0.957694239290011,76.9829407153647
"23",23,"Network #1115","Dataset #73","antagonistic",26,70,0.103550295857988,2.69230769230769,"Food web of the Ria de Vigo","10.1016/j.csr.2010.10.010",2011,"r. filgueira","https://doi.org/10.1016%2Fj.csr.2010.10.010","freshwater",174.666666666667,168,49.6666666666667,5357,367.333333333333,30.6666666666667,337.666666666667,235.333333333333,122.333333333333,243,112,813.333333333333,1024.66666666667,621,13281,967.333333333333,660.666666666667,947.333333333333,684.333333333333,205,13858.5833333333,205,39.7421379089355,"Network #1115",0.0199486577682927,8.43717527822838,27.4953940228586,64.0674306989131
"24",24,"Network #1239","Dataset #15","antagonistic",41,169,0.100535395597858,4.1219512195122,"Food web of pelagic communities of small lakes and ponds of the Helldiver Pond.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",49.6666666666667,276.666666666667,45.6666666666667,11740.3333333333,285.333333333333,-319.333333333333,604.666666666667,170.333333333333,-108,172,-111.333333333333,703.666666666667,1225.66666666667,235.333333333333,34405.3333333333,1141.66666666667,292,1137.66666666667,297.333333333333,206,12348.8333333333,206,1,"Network #1239",4.05915930965793e-17,0,0,100
"25",25,"Network #1462","Dataset #92","antagonistic",30,229,0.254444444444444,7.63333333333333,"Food web structure and diet composition based on an Ecopath model in Laguna Alvarado, western Gulf of Mexico","10.1016/j.ecss.2006.10.013",2007,"cruz-escalona","https://www.sciencedirect.com/science/article/pii/S0272771406005002","coastal",284.666666666667,171,53.6666666666667,3210.33333333333,461,139,322,288.333333333333,271.333333333333,327,247.666666666667,1488.33333333333,1868,1126.33333333333,26145,1812.66666666667,1182.33333333333,1457.33333333333,1298.33333333333,209,16469.0833333333,209,6,"Network #1462",0.0263070310719624,49.1814840220086,25.1375838540711,25.6809321239203
"26",26,"Network #1463","Dataset #93","antagonistic",13,34,0.201183431952663,2.61538461538462,"Food web structure of an intertidal community at Hodgkin's Cove, Cape Ann, Massachusetts","10.2307/1937256",1982,"edwards","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/1937256","coastal",111.333333333333,246.333333333333,47.3333333333333,9489,337.333333333333,-185.666666666667,522.666666666667,216.666666666667,-6,219,-12.3333333333333,762.333333333333,1261,344.666666666667,31499.3333333333,1183.33333333333,411.333333333333,1170.66666666667,419,210,13138.4166666667,210,30.9252471923828,"Network #1463",0.0261307489769021,28.3568883024634,27.2663991516786,44.376712545858
"27",27,"Network #1476","Dataset #104","antagonistic",28,69,0.0880102040816327,2.46428571428571,"Structure of a tropical rocky intertidal food web, Taboguilla Island, Bay of Panama","10.1007/bf00377324",1986,"menge","https://link.springer.com/article/10.1007/BF00377324","coastal",274.333333333333,72.3333333333333,55,1088.66666666667,357.333333333333,226,131.666666666667,270.333333333333,285.333333333333,290.666666666667,266,1884.66666666667,2057.66666666667,1605.66666666667,14937.3333333333,2022,1676.66666666667,1720,1891,211,19423.5,211,NA,"Network #1476",0.0157490237534795,40.5816380126789,5.95903796973547,53.4593240175856
"28",28,"Network #87","Dataset #23","antagonistic",30,229,0.254444444444444,7.63333333333333,"Dietary matrix of the Laguna Alvarado","10.1016/j.ecss.2006.10.013",2007,"v.h. cruz-escalona","https://doi.org/10.1016%2Fj.ecss.2006.10.013","coastal",284.666666666667,171,53.6666666666667,3210.33333333333,461,139,322,288.333333333333,271.333333333333,327,247.666666666667,1488.33333333333,1868,1126.33333333333,26145,1812.66666666667,1182.33333333333,1457.33333333333,1298.33333333333,212,16469.0833333333,212,6,"Network #87",0.0393633762417043,55.7365946848678,1.08619943849873,43.1772058766334
