"","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"1","Network #5167","Dataset #181","mutualistic",240,120,0.00208333333333333,0.5,"Pollination network at site twin_meadows during week 13 of 2014","10.1111/ele.12740",2020,"Paul CaraDonna","https://onlinelibrary.wiley.com/doi/10.1111/ele.12740","terrestrial",32.3333333333333,295.666666666667,49,10839.3333333333,306.333333333333,-300,606.333333333333,157,-94.6666666666667,158.666666666667,-101,470.333333333333,795.666666666667,262,18912,728,279.666666666667,717.333333333333,284.666666666667,50,16682.3333333333,50,2.02859425544739,"Network #5167",1.07444917160946e-16,0,0,100
"2","Network #944","Dataset #67","mutualistic",209,666,0.0152469036881024,3.1866028708134,"Bird-fruit interaction in the lower montane forests of Monteverde, Costa Rica","10.2307/2388051",1984,"wheelwright","http://download.bioon.com.cn/upload/month_0910/20091008_db07aa6c85868f647dc6uVyGu2wEUWil.attach.pdf","terrestrial",274,118.333333333333,56.6666666666667,1925.66666666667,402.666666666667,191.333333333333,211.666666666667,267.666666666667,294.666666666667,302,255.333333333333,1750.33333333333,1942,1467.33333333333,16217.6666666667,1907.33333333333,1525,1590.33333333333,1730.33333333333,51,19747.25,51,11.5292406082153,"Network #944",0.0393264292365745,21.4713837309944,43.2537284905303,35.2748877784753
"3","Network #1602","Dataset #167","mutualistic",67,134,0.0298507462686567,2,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,52,18401,52,11.8654489517212,"Network #1602",0.0233864057936688,12.6070786893915,18.2377820564519,69.1551392541566
"4","Network #1603","Dataset #167","mutualistic",87,144,0.0190249702734839,1.6551724137931,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,53,18401,53,11.8654489517212,"Network #1603",0.00658464532853411,1.14343166314944,5.51214749013026,93.3444208467203
"5","Network #1612","Dataset #167","mutualistic",48,99,0.04296875,2.0625,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,54,18401,54,11.8654489517212,"Network #1612",0.0888145262753572,28.8712311241806,17.2597855142894,53.86898336153
"6","Network #1613","Dataset #167","mutualistic",51,131,0.0503652441368704,2.56862745098039,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,55,18401,55,11.8654489517212,"Network #1613",0.0355024610712808,16.4713957528492,22.6301601034774,60.8984441436734
"7","Network #1634","Dataset #168","mutualistic",19,24,0.0664819944598338,1.26315789473684,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,56,20610.5,56,NA,"Network #1634",0.0313722198185145,28.3440546359972,1.99936771841516,69.6565776455876
"8","Network #1635","Dataset #168","mutualistic",26,39,0.0576923076923077,1.5,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,57,20610.5,57,NA,"Network #1635",0.101644651958167,43.4211739909934,15.8497302170293,40.7290957919772
"9","Network #1636","Dataset #168","mutualistic",17,18,0.0622837370242214,1.05882352941176,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,58,20610.5,58,NA,"Network #1636",0.0377158183191708,12.4874051206048,6.7520237926178,80.7605710867774
"10","Network #1637","Dataset #168","mutualistic",24,33,0.0572916666666667,1.375,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,59,20610.5,59,NA,"Network #1637",0.0932174885446023,26.8934991017799,13.3717343720265,59.7347665261936
